"1","17","1872","4","77.97","True"
"1","16","1832","6","95.62","False"
"1","16","515","6","70.16","True"
"1","78","106","1","17.18","False"
"1","15","1463","9","67.01","False"
"1","51","1888","7","59.03","True"
"1","12","1402","1","86.71","False"
"1","16","455","10","37.00","False"
"1","27","36","5","49.71","False"
"1","28","147","6","41.41","False"
"2","57","1848","6","35.77","True"
"2","18","394","8","91.02","True"
"2","15","916","5","20.31","False"
"2","15","1902","10","37.19","False"
"2","36","577","2","30.10","False"
"2","69","1333","10","61.77","True"
"3","51","282","8","50.64","True"
"3","57","1209","5","72.77","False"
"3","51","84","1","71.99","True"
"3","98","521","2","100.00","True"
"3","6","419","3","43.51","True"
"3","27","907","9","37.01","True"
"3","45","1392","9","47.15","True"
"3","15","563","10","69.00","False"
"3","17","269","9","67.38","True"
"4","90","260","2","96.28","True"
"5","97","1170","1","10.40","True"
"5","25","1879","9","41.04","True"
"5","16","289","6","87.24","False"
"5","98","1740","9","83.58","True"
"5","90","1890","5","86.69","True"
"6","97","1873","1","27.47","False"
"6","6","726","9","77.04","False"
"6","96","390","5","25.48","True"
"6","16","1195","9","70.43","False"
"7","97","50","6","44.78","True"
"7","6","1335","3","19.79","False"
"7","84","1706","4","28.29","True"
"7","25","1752","9","38.54","True"
"8","36","1888","5","64.78","True"
"8","15","1030","10","52.12","True"
"8","98","222","6","54.11","True"
"8","84","136","10","63.74","False"
"8","90","662","8","86.42","True"
"8","78","421","1","52.24","True"
"8","52","1954","4","28.50","False"
"8","97","932","6","49.94","True"
"8","45","1985","2","92.14","True"
"8","28","533","6","41.41","True"
"9","22","459","6","33.27","False"
"9","18","668","1","11.82","True"
"9","45","436","7","91.36","True"
"9","83","14","1","26.28","False"
"9","70","1428","1","22.31","False"
"9","16","1426","6","26.34","False"
"9","98","816","3","98.85","True"
"9","57","815","8","48.93","False"
"10","28","692","5","60.91","True"
"10","6","1882","4","94.73","False"
"10","70","1010","2","86.01","True"
"10","57","1189","10","94.39","False"
"10","78","827","4","27.71","False"
"10","42","686","8","21.80","True"
"11","27","29","3","63.30","True"
"11","42","518","10","63.91","False"
"11","45","1907","9","55.63","True"
"11","98","715","1","85.70","True"
"11","83","242","10","73.74","True"
"11","52","1168","6","73.78","False"
"12","45","1165","1","87.12","True"
"13","6","537","7","80.30","True"
"13","78","1374","9","82.53","False"
"14","97","1293","8","27.74","True"
"14","78","1650","7","29.89","False"
"14","18","484","10","100.00","True"
"14","90","226","4","30.44","False"
"14","78","1701","7","26.02","True"
"14","69","252","9","98.14","False"
"14","90","679","5","51.34","True"
"15","51","1440","4","19.02","True"
"15","83","343","4","88.68","True"
"15","62","1412","3","13.49","True"
"15","51","200","5","35.95","False"
"15","22","453","8","37.56","False"
"15","69","1405","2","19.51","True"
"16","27","579","2","39.84","True"
"16","25","1728","9","97.05","False"
"16","70","1621","7","46.85","False"
"16","16","117","9","35.30","False"
"16","42","650","2","39.26","True"
"16","18","1951","2","79.44","True"
"17","62","819","3","46.62","False"
"17","42","1587","9","67.42","True"
"17","78","461","6","96.03","True"
"17","36","135","4","76.02","False"
"17","17","1560","9","35.17","True"
"17","12","96","2","96.09","True"
"17","51","1828","6","24.60","True"
"17","90","733","3","71.52","False"
"17","98","955","9","24.43","False"
"17","70","1328","1","18.72","True"
"18","90","1700","4","13.19","False"
"19","98","1109","2","10.91","False"
"19","25","954","4","52.33","True"
"19","28","3","1","32.39","False"
"19","70","558","7","64.90","True"
"19","51","297","7","46.08","False"
"19","70","1463","6","63.63","True"
"19","62","684","6","33.15","False"
"19","97","202","4","58.48","True"
"20","83","1649","7","42.64","True"
"20","16","363","2","53.89","False"
"20","84","1190","4","99.80","True"
