"1001","0"
"1002","1"
"1003","2"
"1004","3"
"1005","4"
"1006","5"
"1007","6"
"1008","7"
"1009","8"
"1010","9"
"1011","10"
"1012","11"
"1013","12"
"1014","13"
"1015","14"
"1016","15"
"1017","16"
"1018","17"
"1019","18"
"1020","19"
"1021","20"
"1022","21"
"1023","22"
"1024","23"
"1025","24"
"1026","25"
"1027","26"
"1028","27"
"1029","28"
"1030","29"
"1031","30"
"1032","31"
"1033","32"
"1034","33"
"1035","34"
"1036","35"
"1037","36"
"1038","37"
"1039","38"
"1040","39"
"1041","40"
"1042","41"
"1043","42"
"1044","43"
"1045","44"
"1046","45"
"1047","46"
"1048","47"
"1049","48"
"1050","49"
"1051","50"
"1052","51"
"1053","52"
"1054","53"
"1055","54"
"1056","55"
"1057","56"
"1058","57"
"1059","58"
"1060","59"
"1061","60"
"1062","61"
"1063","62"
"1064","63"
"1065","64"
"1066","65"
"1067","66"
"1068","67"
"1069","68"
"1070","69"
"1071","70"
"1072","71"
"1073","72"
"1074","73"
"1075","74"
"1076","75"
"1077","76"
"1078","77"
"1079","78"
"1080","79"
"1081","80"
"1082","81"
"1083","82"
"1084","83"
"1085","84"
"1086","85"
"1087","86"
"1088","87"
"1089","88"
"1090","89"
"1091","90"
"1092","91"
"1093","92"
"1094","93"
"1095","94"
"1096","95"
"1097","96"
"1098","97"
"1099","98"
"1100","99"
